	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	surprise	0.2608749028113107	0.2771795842370177
id-1260_AU10Open-100_AU5-66	sadness	-0.29348426566272456	0.2418527744813193
id-1260_AU11-66_AU14-66_AU43-33	sadness	-0.15761192044850025	-0.17391660187420716
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.15761192044850025	0.4592485268240783
id-1260_AU12-33	happiness	0.21920738361228195	-0.47464739261502364
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	0.6059906596554406	-0.0054348938085689745
id-1260_AU12-66_AU25-33	happiness	0.23551206503798885	-0.02989191594712937
id-1260_AU13-33_AU4-66	sadness	-0.0054348938085689745	-0.44566129230265583
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	sadness	-0.28261447804558665	0.19293873020419855
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	0.5407719339526129	0.4664950519021702
id-1260_AU14-33_AU20-33_AU25-33	fear	0.22283064615132792	-0.1875038363956296
id-1260_AU17-33_AU24-100_AU6-33	fear	-0.052537306816166744	-0.18750383639562962
id-1260_AU20-100_AU25-33_AU4-33	sadness	-0.3750076727912592	-0.19565617710848307
id-1260_AU22-100_AU25-100_AU26-100	surprise	0.10779206053661798	0.5226556212573831
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.03260936285141383	0.006340709443330465
id-1260_AU9-33	sadness	-0.13406071394470134	-0.6965722231315902
id-1264_AU1-100_AU4-100	surprise	0.0	-0.19293873020419855
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.42120427016409545	0.3831600135041127
id-1264_AU10Open-33_AU12-66	happiness	0.1684817080656382	0.17663404877849165
id-1264_AU10Open-33_AU25-66_AU4-66	fear	-0.09511064164995703	-0.08242922276329612
id-1264_AU10Open-66_AU25-66_AU43-33	happiness	0.15942355171802322	-0.04529078173807474
id-1264_AU13-100_AU15-33_AU22-33	happiness	0.12137929505804042	-0.45743689555455536
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	surprise	0.15851773608326175	0.26178071844607215
id-1264_AU14-33_AU16Open-100_AU20-33	happiness	0.1277200045013709	0.3179412878012849
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	happiness	0.30344823764510104	0.28170866241082515
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	fear	-0.08424085403281911	-0.13858979211850883
id-1264_AU15-66_AU24-33_AU4-100	sadness	-0.13858979211850886	0.3559855444612677
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	disgust	-0.4782706551540697	0.2201131992470434
id-1264_AU22-100_AU26-33	surprise	0.4510961861112248	0.4293566108769489
id-1264_AU26-100_AU6-66_AU7-33	surprise	0.23370043376846586	0.4565310799197938
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	fear	0.4800822864235927	0.5271846994311904
id-1266_AU1-66_AU12-100_AU24-100	happiness	-0.5733812968040267	0.6494698101239924
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	sadness	-0.13587234521422434	-0.17663404877849165
id-1266_AU11-66_AU17-100_AU7-33	sadness	-0.33968086303556083	-0.6358825756025699
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	disgust	-0.3858774604083972	0.2201131992470434
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	disgust	-0.36866696334792876	0.3297168910531844
id-1266_AU14-66_AU16Open-66_AU27i-33_AU43-66	surprise	-0.00815234071285346	0.3940298011212506
id-1266_AU15-33_AU24-66_AU27i-66_AU6-100	surprise	-0.3260936285141384	0.23913532757703485
id-1266_AU15-33_AU5-66_AU9-33	disgust	-0.4592485268240783	-0.50272767729263
id-1266_AU17-100_AU20-66	sadness	-0.3478332037484143	-0.3532680975569833
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	sadness	-0.3269994441488999	0.11050950744090247
id-1266_AU25-100_AU4-100	anger	-0.23913532757703485	0.13043745140565535
