	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	anger	0.4429438453983714	-0.4429438453983714
id-1260_AU10Open-100_AU5-66	fear	-0.13315489830993985	-0.50272767729263
id-1260_AU11-66_AU14-66_AU43-33	sadness	0.36413788517412127	-0.6911373293230212
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.7092536420182511	-0.2472876682898883
id-1260_AU12-33	happiness	0.35145646628746025	-0.6657744915496994
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	0.6005557658468715	0.28261447804558665
id-1260_AU12-66_AU25-33	happiness	-0.059783831894258704	-0.4230159014336185
id-1260_AU13-33_AU4-66	sadness	0.11594440124947143	-0.28261447804558665
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	anger	-0.2663097966198797	-0.44566129230265583
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	fear	-0.3451157568441299	-0.30163660637557804
id-1260_AU14-33_AU20-33_AU25-33	sadness	0.23913532757703485	-0.3433041255746068
id-1260_AU17-33_AU24-100_AU6-33	sadness	-0.1449305015618393	-0.2173957523427589
id-1260_AU20-100_AU25-33_AU4-33	fear	-0.15761192044850025	-0.23551206503798885
id-1260_AU22-100_AU25-100_AU26-100	surprise	-0.33243433795746896	-0.17210497060468413
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.30888313145367	0.03260936285141385
id-1260_AU9-33	disgust	0.13858979211850886	-0.4837055489626387
id-1264_AU1-100_AU4-100	sadness	-0.027174469042844873	0.4510961861112248
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.6195778941768629	0.3478332037484143
id-1264_AU10Open-33_AU12-66	fear	-0.5489242746654664	0.20652596472562101
id-1264_AU10Open-33_AU25-66_AU4-66	disgust	-0.26902724352416424	-0.1829747582218221
id-1264_AU10Open-66_AU25-66_AU43-33	disgust	-0.1657642611613537	-0.8831702438924582
id-1264_AU11-33_AU13-33_AU22-33	disgust	0.02173957523427589	-0.5462068277611818
id-1264_AU13-100_AU15-33_AU22-33	surprise	-0.08695830093710356	-0.22283064615132794
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	fear	-0.30707150018414703	-0.4972927834840611
id-1264_AU14-33_AU16Open-100_AU20-33	disgust	0.5380544870483285	0.20652596472562101
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	happiness	0.4402263984940868	-0.21467830543847446
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	disgust	0.13949560775327033	-0.1983736240127676
id-1264_AU15-66_AU24-33_AU4-100	sadness	0.04619659737283628	-0.6386000225068544
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	disgust	-0.5145032805445295	-0.03804425665998277
id-1264_AU22-100_AU26-33	surprise	-0.6277302348897166	0.3007307907408166
id-1264_AU26-100_AU6-66_AU7-33	happiness	0.23098298686418137	-0.4420380297636099
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	0.5788161906125957	0.1250025575970864
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.5625115091868887	-0.4266391639726645
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	happiness	0.28623774058463264	-0.6902315136882597
id-1266_AU11-66_AU17-100_AU7-33	anger	-0.0054348938085689745	-0.6684919384539837
