	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	sadness	-0.04347915046855179	0.19837362401276756
id-1260_AU10Open-100_AU5-66	fear	-0.418486823259811	0.402182141834104
id-1260_AU11-66_AU14-66_AU43-33	sadness	-0.2744621373327332	0.2880493718541556
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.08695830093710358	-0.11141532307566396
id-1260_AU12-33	sadness	-0.2201131992470434	0.2663097966198797
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	0.3433041255746068	-0.20562014909085954
id-1260_AU12-66_AU25-33	fear	-0.10145135109328751	0.17572823314373018
id-1260_AU13-33_AU4-66	sadness	-0.2581574559070263	0.26902724352416424
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	disgust	-0.19022128329991408	0.4320740577812335
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	-0.1250025575970864	0.5380544870483285
id-1260_AU14-33_AU20-33_AU25-33	sadness	-0.30163660637557804	-0.0842408540328191
id-1260_AU17-33_AU24-100_AU6-33	sadness	-0.4646834206326473	-0.20380851782133647
id-1260_AU20-100_AU25-33_AU4-33	sadness	-0.5190323587183371	0.36685533207840576
id-1260_AU22-100_AU25-100_AU26-100	surprise	-0.1231909263275634	-0.3623262539045982
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.4565310799197938	0.13858979211850886
id-1260_AU9-33	sadness	-0.21467830543847446	0.2771795842370177
id-1264_AU1-100_AU4-100	anger	-0.3722902258869747	0.40218214183410406
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	anger	-0.7174059827311046	0.6521872570282768
id-1264_AU10Open-33_AU12-66	disgust	-0.4103344825469576	0.30163660637557804
id-1264_AU10Open-33_AU25-66_AU4-66	disgust	-0.24004114321179637	0.25815745590702627
id-1264_AU11-33_AU13-33_AU22-33	happiness	-0.19293873020419855	-0.3097889470884315
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	surprise	-0.6875140667839752	0.1875038363956296
id-1264_AU14-33_AU16Open-100_AU20-33	anger	-0.42120427016409545	0.2554400090027418
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	happiness	-0.025362837773321878	-0.31341220962747746
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	sadness	-0.044384966103313266	-0.3940298011212506
id-1264_AU15-66_AU24-33_AU4-100	surprise	-0.30707150018414703	0.42392171706838
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	disgust	-0.23913532757703485	0.2364178806727504
id-1264_AU22-100_AU26-33	surprise	-0.2210190148818049	0.28442610931510964
id-1264_AU26-100_AU6-66_AU7-33	surprise	-0.1875038363956296	0.20652596472562101
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	-9.25185853854297e-18	-0.06159546316378171
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.1277200045013709	0.19022128329991408
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	sadness	0.2608749028113107	-0.3831600135041127
id-1266_AU11-66_AU17-100_AU7-33	sadness	-0.0606896475290202	-0.24638185265512683
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	anger	-0.5217498056226214	0.4674008675369317
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	anger	-0.1847863894913451	-0.038044256659982845
id-1266_AU15-33	sadness	-0.05434893808568974	-0.3505506506526989
id-1266_AU15-33_AU24-66_AU27i-66_AU6-100	surprise	-0.4674008675369317	-0.0625012787985432
id-1266_AU15-33_AU5-66_AU9-33	disgust	-0.4547194486502708	0.11685021688423293
id-1266_AU17-100_AU20-66	anger	-0.1032629823628105	-0.28533192494987114
id-1266_AU17-33_AU24-33_AU26-66	fear	-0.100545535458526	-0.6576221508368458
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	fear	-0.6222953410811475	0.5924034251340181
id-1266_AU25-100_AU4-100	anger	-0.27083887479368723	0.4021821418341041
id-1266_AU25-33_AU4-33	sadness	-0.21196085853419	0.21739575234275896
id-1269_AU1-66_AU16Open-33_AU20-66	anger	-0.04619659737283628	-0.2201131992470434
id-1269_AU10Open-100_AU20-100_AU25-33	anger	-0.3641378851741212	0.13587234521422434
id-1269_AU10Open-33	disgust	-0.4972927834840611	-0.14130723902279332
id-1269_AU11-100_AU13-33_AU25-100	happiness	-0.2699330591589257	-0.413051929451242
id-1269_AU12-100_AU2-66_AU20-33_AU43-66	happiness	0.3451157568441299	0.16032936735278475
id-1269_AU13-33_AU15-100	anger	-0.11685021688423292	-0.37772511969554373
id-1269_AU14-100_AU20-100_AU5-66	anger	-0.1711991549699227	-0.2798970311413021
id-1269_AU14-33_AU25-66	happiness	0.29620171256700906	0.2554400090027418
id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100	surprise	-0.3768193040607821	0.11503858561470993
id-1269_AU15-66_AU17-33_AU24-100	fear	-0.1521770266399313	0.5135974649097681
id-1269_AU16Open-66_AU5-100	anger	-0.29620171256700906	0.25362837773321883
id-1269_AU17-33	sadness	-0.1684817080656382	-0.2717446904284487
id-1269_AU17-33_AU24-33_AU6-66	sadness	-0.1250025575970864	-0.3179412878012849
id-1270_AU1-100_AU11-33_AU24-33_AU6-33	disgust	-0.4103344825469576	0.2717446904284487
id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66	anger	-0.6331651286982856	0.6059906596554406
id-1270_AU10Open-66_AU12-33_AU14-33	happiness	0.09511064164995704	0.1711991549699227
id-1270_AU11-100_AU15-100_AU20-66_AU7-66	disgust	-0.37863093533030523	-0.19565617710848304
id-1270_AU11-33_AU17-66	sadness	0.12228511069280193	-0.3994646949298196
id-1270_AU12-100_AU13-100_AU14-66_AU2-100_AU25-66	happiness	0.057066384989974225	0.5163149118140525
id-1270_AU12-33_AU15-33_AU17-100_AU24-66	happiness	-0.09239319474567256	-0.30707150018414703
id-1270_AU14-66_AU15-100_AU43-33	sadness	0.21467830543847446	0.21467830543847446
id-1270_AU15-33_AU22-66	sadness	-0.09239319474567258	-0.46468342063264734
id-1270_AU16Open-66_AU20-66_AU6-66	anger	-0.21196085853419	0.14130723902279332
id-1270_AU2-33_AU24-66_AU4-66	anger	-0.17935149568277614	0.2744621373327332
id-1270_AU22-66_AU26-100	surprise	-0.11232113871042544	-0.5507359059349893
id-1270_AU26-100	surprise	-0.07880596022425011	-0.29348426566272456
id-1270_AU5-33_AU7-100	anger	-0.17753986441325317	-0.1467421328313624
id-1273_AU1-100_AU14-66_AU25-33_AU5-100	surprise	0.0054348938085689745	0.3260936285141384
id-1273_AU1-33_AU13-33_AU26-33	surprise	0.4474729235721789	0.2717446904284487
id-1273_AU1-33_AU25-100_AU4-33	sadness	0.3623262539045983	-0.2019968865518135
id-1273_AU10Open-66_AU12-66_AU25-66	happiness	0.20471433345609805	-0.1829747582218221
id-1273_AU11-100_AU15-33_AU20-33	happiness	-0.13496652957946284	-0.27265050606321023
id-1273_AU11-33_AU14-33_AU26-100	happiness	0.6032732127511561	0.3867832760431586
id-1273_AU12-100_AU16Open-33_AU20-100_AU22-66_AU5-66	surprise	0.10688624490185648	0.3369634161312764
id-1273_AU13-33_AU4-100_AU9-100	anger	-0.28804937185415563	0.7500153455825184
id-1273_AU15-100_AU2-100	surprise	0.17663404877849165	0.21739575234275896
id-1273_AU15-66_AU20-66_AU5-66	fear	-0.30707150018414703	0.5462068277611818
id-1273_AU16Open-33_AU17-100_AU22-100	happiness	0.07608851331996565	-0.5869685313254491
id-1273_AU16Open-33_AU22-100_AU24-100_AU9-100	anger	-0.4646834206326473	-0.019022128329991405
