	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	surprise	0.27989703114130215	0.12137929505804042
id-1260_AU10Open-100_AU5-66	anger	-0.40489958873838855	0.3260936285141384
id-1260_AU11-66_AU14-66_AU43-33	sadness	0.0	-0.01630468142570692
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.5362428557788054	0.3469273881136528
id-1260_AU12-33	anger	-0.07065361951139666	0.029891915947129363
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	0.17935149568277614	-0.1630468142570692
id-1260_AU12-66_AU25-33	happiness	0.15851773608326175	0.19565617710848304
id-1260_AU13-33_AU4-66	sadness	-0.008152340712853473	0.1811631269522991
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	anger	-0.2581574559070263	0.3206587347055695
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	fear	-0.09601645728471853	0.4248275327031414
id-1260_AU14-33_AU20-33_AU25-33	happiness	-0.12137929505804042	0.07880596022425013
id-1260_AU17-33_AU24-100_AU6-33	sadness	0.0842408540328191	0.1711991549699227
id-1260_AU20-100_AU25-33_AU4-33	sadness	-0.2500051151941728	0.1684817080656382
id-1260_AU22-100_AU25-100_AU26-100	fear	-0.3577971757307908	0.6168604472725786
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	sadness	-0.07608851331996565	0.15489447354421576
id-1260_AU9-33	disgust	-0.1032629823628105	0.01902212832999141
id-1264_AU1-100_AU4-100	surprise	-0.3885949073126817	0.05978383189425871
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.5905917938644952	0.6476581788544694
id-1264_AU10Open-33_AU12-66	anger	-0.11956766378851742	0.33968086303556083
id-1264_AU10Open-33_AU25-66_AU4-66	disgust	-0.11685021688423296	0.20471433345609802
id-1264_AU10Open-66_AU25-66_AU43-33	anger	0.06793617260711217	-0.1594235517180232
id-1264_AU11-33_AU13-33_AU22-33	sadness	0.2418527744813193	0.1630468142570692
id-1264_AU13-100_AU15-33_AU22-33	happiness	-0.1277200045013709	0.08967574784138807
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	fear	-0.100545535458526	0.04347915046855179
id-1264_AU14-33_AU16Open-100_AU20-33	happiness	0.0815234071285346	0.057066384989974225
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	disgust	-0.2255480930556124	0.11141532307566396
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	sadness	-0.2282655399598969	0.02717446904284487
id-1264_AU15-66_AU24-33_AU4-100	sadness	-0.4293566108769489	0.2527225620984573
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	disgust	-0.2880493718541556	0.5353370401440439
id-1264_AU22-100_AU26-33	anger	-0.402182141834104	0.5842510844211647
id-1264_AU26-100_AU6-66_AU7-33	fear	-0.30163660637557804	0.6956664074968286
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	0.5108800180054835	0.3777251196955437
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.1666700767961152	0.21377248980371297
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	disgust	-0.07337106641568114	0.07065361951139666
id-1266_AU11-66_AU17-100_AU7-33	disgust	-0.3641378851741212	0.20380851782133647
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	happiness	-0.44566129230265583	0.7337106641568115
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	disgust	-0.37410185715649774	0.17844568004801462
id-1266_AU14-66_AU16Open-66_AU27i-33_AU43-66	surprise	-0.00815234071285346	0.9076272660310184
id-1266_AU15-33_AU24-66_AU27i-66_AU6-100	fear	-0.5054451241969146	0.2663097966198797
id-1266_AU15-33_AU5-66_AU9-33	sadness	-0.04891404427712077	0.03804425665998282
id-1266_AU17-100_AU20-66	sadness	-0.725558323443958	0.1684817080656382
id-1266_AU17-33_AU24-33_AU26-66	anger	-0.12681418886660936	0.08605248530234207
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	sadness	-0.1521770266399313	0.24457022138560386
id-1266_AU25-100_AU4-100	anger	-0.3505506506526989	0.19022128329991408
id-1266_AU25-33_AU4-33	sadness	-0.29891915947129355	0.29348426566272456
id-1269_AU1-66_AU16Open-33_AU20-66	fear	-0.09782808855424156	0.0606896475290202
id-1269_AU10Open-100_AU20-100_AU25-33	anger	-0.09239319474567256	0.07337106641568114
