	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	fear	-0.2771795842370177	0.2608749028113107
id-1260_AU10Open-100_AU5-66	disgust	0.2554400090027418	0.2907668187584401
id-1260_AU11-66_AU14-66_AU43-33	sadness	0.18840965203039106	-0.5299021463354749
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.05434893808568974	0.6195778941768629
id-1260_AU12-33	happiness	0.28804937185415563	-0.5742871124387884
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	-0.01811631269522965	-0.153988657909454
id-1260_AU12-66_AU25-33	happiness	0.3849716447736357	-0.45924852682407824
id-1260_AU13-33_AU4-66	sadness	0.030797731581890864	-0.01268141888666092
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	disgust	-0.19293873020419858	0.2500051151941728
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	0.1820689425870606	0.3831600135041127
id-1260_AU17-33_AU24-100_AU6-33	sadness	-0.09058156347614936	-0.29891915947129327
id-1260_AU20-100_AU25-33_AU4-33	sadness	-0.22283064615132792	0.29620171256700906
id-1260_AU22-100_AU25-100_AU26-100	surprise	0.15761192044850034	0.2617807184460723
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.15217702663993102	0.019022128329991336
id-1260_AU9-33	sadness	0.5652289560911733	-0.9429540757867167
id-1264_AU1-100_AU4-100	fear	-0.4918578896754921	0.21467830543847446
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	surprise	-0.2038085178213367	0.13768397648374733
id-1264_AU10Open-33_AU12-66	fear	-0.07518269768520401	-0.10416879799757169
id-1264_AU10Open-33_AU25-66_AU4-66	fear	-0.14221305465755477	0.02083375959951439
id-1264_AU13-100_AU15-33_AU22-33	fear	0.29982497510605505	-0.6974780387663516
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	surprise	0.2364178806727504	0.1820689425870606
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	fear	0.5000102303883456	0.03532680975569833
id-1264_AU15-66_AU24-33_AU4-100	sadness	0.2364178806727504	0.3641378851741212
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	disgust	-0.1675758924308767	0.6666803071844608
id-1264_AU22-100_AU26-33	surprise	-0.26359234971559525	-0.21739575234275896
id-1264_AU26-100_AU6-66_AU7-33	sadness	0.30707150018414703	-0.5353370401440439
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	0.31250639399271596	0.134966529579463
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.37772511969554373	0.12228511069280201
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	sadness	0.06703035697235067	-0.21196085853418997
id-1266_AU11-66_AU17-100_AU7-33	surprise	-0.06793617260711217	-0.2282655399598969
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	disgust	-0.6222953410811475	0.1875038363956296
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	disgust	-0.3469273881136528	-0.10869787617137949
id-1266_AU14-66_AU16Open-66_AU27i-33_AU43-66	disgust	-0.12137929505804042	0.20652596472562101
id-1266_AU15-33_AU24-66_AU27i-66_AU6-100	sadness	-0.2255480930556124	0.16032936735278475
id-1266_AU15-33_AU5-66_AU9-33	sadness	0.04347915046855179	-0.5299021463354749
id-1266_AU17-100_AU20-66	fear	-0.3722902258869748	-0.1657642611613537
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	sadness	-0.5760987437083112	0.06521872570282768
id-1266_AU25-100_AU4-100	sadness	-0.2663097966198797	0.2699330591589257
id-1269_AU10Open-33	disgust	-0.3831600135041127	-0.24457022138560386
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	disgust	0.04438496610331331	-0.14855376410088536
id-1269_AU11-100_AU13-33_AU25-100	anger	-0.03170354721665236	0.05616056935521272
id-1269_AU11-100_AU25-33_AU43-66	disgust	-0.02717446904284487	-0.5108800180054835
id-1269_AU12-100_AU2-66_AU20-33_AU43-66	sadness	0.33968086303556083	-0.4538136330155093
id-1269_AU12-33_AU17-66_AU9-100	anger	-0.4538136330155093	-0.4809881020583541
id-1269_AU14-100_AU20-100_AU5-66	fear	-0.23098298686418134	0.2744621373327332
id-1269_AU14-33_AU25-66	happiness	-0.38044256659982817	0.5896859782297337
id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100	surprise	-0.14674213283136198	0.09873390418900298
id-1269_AU15-66_AU17-33_AU24-100	sadness	-0.2472876682898883	0.2282655399598969
id-1269_AU16Open-66_AU5-100	fear	-0.11503858561470996	0.3079773158189085
id-1270_AU1-100_AU11-33_AU24-33_AU6-33	sadness	-0.2617807184460723	-0.08424085403281933
id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66	anger	-0.3722902258869748	0.23370043376846586
id-1270_AU10Open-66_AU12-33_AU14-33	happiness	0.0072465250780919905	-0.0643129100680662
id-1270_AU11-100_AU15-100_AU20-66_AU7-66	sadness	-0.197467808378006	0.021739575234275627
id-1270_AU12-100_AU13-100_AU14-66_AU2-100_AU25-66	happiness	0.6032732127511561	0.40761703564267293
id-1270_AU14-66_AU15-100_AU43-33	sadness	0.006340709443330483	-0.08424085403281911
id-1270_AU15-33_AU22-66	sadness	-0.3913123542169661	-0.06521872570282768
