	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	surprise	-0.27536795296749467	0.39855887929505807
id-1260_AU10Open-100_AU5-66	fear	0.3940298011212506	0.100545535458526
id-1260_AU11-66_AU14-66_AU43-33	sadness	-0.2744621373327332	0.3695727789826902
id-1260_AU12-100_AU4-66_AU43-66	sadness	0.07880596022425011	0.2282655399598969
id-1260_AU12-33	happiness	0.27899121550654066	0.047102413007597786
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	sadness	0.11956766378851742	-0.2472876682898883
id-1260_AU12-66_AU25-33	happiness	0.2672156122546412	0.14040142338803177
id-1260_AU13-33_AU4-66	sadness	-0.52084398998786	0.08152340712853462
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	anger	-0.3179412878012849	-0.33968086303556083
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	-0.2554400090027418	0.3423983099398454
id-1260_AU14-33_AU20-33_AU25-33	happiness	0.1847863894913451	-0.1875038363956296
id-1260_AU17-33_AU24-100_AU6-33	sadness	-0.5217498056226215	-0.18478638949134507
id-1260_AU20-100_AU25-33_AU4-33	surprise	-0.2472876682898883	0.23913532757703485
id-1260_AU22-100_AU25-100_AU26-100	surprise	-0.19293873020419858	-0.04981985991188225
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	0.19565617710848307	0.16032936735278475
id-1260_AU9-33	sadness	-0.5788161906125957	-0.2608749028113107
id-1264_AU1-100_AU4-100	sadness	-0.45290781738074787	0.1413072390227933
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.6657744915496994	0.5271846994311905
id-1264_AU10Open-33_AU12-66	disgust	-0.043479150468551775	0.35236228192222185
id-1264_AU10Open-33_AU25-66_AU4-66	anger	-0.5697580342649808	0.4809881020583542
id-1264_AU10Open-66_AU25-66_AU43-33	happiness	0.5108800180054835	-0.2092434116299055
id-1264_AU11-33_AU13-33_AU22-33	happiness	0.07790014458948862	-0.17663404877849165
id-1264_AU13-100_AU15-33_AU22-33	sadness	-0.06793617260711217	-0.19022128329991408
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	surprise	-0.6195778941768629	0.6005557658468715
