	emotion	valence	arousal
id-1273_AU1-100_AU14-66_AU25-33_AU5-100	happiness	0.3623262539045982	-0.45200200174598626
id-1273_AU1-33_AU13-33_AU26-33	happiness	0.4175810076250495	-0.40218214183410406
id-1273_AU1-33_AU25-100_AU4-33	sadness	0.09782808855424154	-0.4918578896754921
id-1273_AU10Open-66_AU12-66_AU25-66	happiness	0.26359234971559525	-0.29348426566272456
id-1273_AU11-100_AU15-33_AU20-33	disgust	0.009963971982376437	-0.6666803071844608
id-1273_AU11-33_AU14-33_AU26-100	happiness	0.34873901938317564	-0.35145646628746036
id-1273_AU12-100_AU16Open-100_AU5-66	happiness	0.21739575234275896	-0.11685021688423293
id-1273_AU12-100_AU16Open-33_AU20-100_AU22-66_AU5-66	happiness	0.19656199274324435	0.4030879574688653
id-1273_AU13-33_AU4-100_AU9-100	disgust	-0.010869787617137952	-0.47555320824978525
id-1273_AU15-100_AU2-100	happiness	0.100545535458526	0.13315489830993985
id-1273_AU15-66_AU20-66_AU5-66	surprise	-0.06793617260711199	-0.3269994441489
id-1273_AU16Open-33_AU17-100_AU22-100	happiness	0.201091070917052	-0.5434893808568974
id-1273_AU16Open-33_AU22-100_AU24-100_AU9-100	anger	-0.2798970311413021	0.11141532307566396
id-1273_AU17-33_AU20-33_AU7-33_AU9-66	disgust	-0.2527225620984573	-0.07065361951139666
id-1273_AU22-100_AU26-33	surprise	0.15761192044850025	0.4293566108769489
id-1273_AU22-33_AU24-66_AU9-66	anger	0.11413276997994845	-0.5951208720383027
id-1274_AU10Open-100_AU12-66_AU24-33_AU7-66	disgust	-0.24094695884655767	-0.2364178806727503
id-1274_AU10Open-100_AU15-100	anger	-0.1440246859270778	0.3097889470884315
id-1274_AU10Open-66_AU2-33_AU43-100_AU9-66	anger	-0.19565617710848307	0.047102413007597765
id-1274_AU11-66_AU12-66_AU24-66_AU27i-100_AU7-100	happiness	0.04529078173807465	-0.007246525078091666
id-1274_AU14-100_AU25-100_AU27i-66_AU5-33	anger	-0.3695727789826902	0.4809881020583541
id-1274_AU14-100_AU26-33	fear	-0.17663404877849165	0.6739268322625528
id-1274_AU14-33_AU6-33	happiness	0.08695830093710358	-0.8750179031796047
id-1274_AU15-100_AU16Open-66_AU24-33	anger	-0.3043540532798626	0.6766442791668373
id-1274_AU15-33_AU16Open-100_AU17-100_AU25-100	anger	-0.39402980112125063	0.022645390869037423
id-1274_AU16Open-33_AU27i-100_AU6-100	surprise	-0.3179412878012849	0.4864229958669232
id-1274_AU17-33_AU20-100_AU24-100_AU9-100	anger	-0.403993773103627	0.38225419786935116
id-1274_AU2-33_AU20-100_AU25-66_AU6-66	anger	-0.1240967419623249	0.13677816084898586
id-1274_AU2-66_AU5-33_AU6-66	anger	-0.0208337595995144	-0.21105504289942842
id-1274_AU22-66_AU24-100	anger	-0.21467830543847446	-0.43479150468551797
