	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	fear	0.033515178486175336	-0.4402263984940868
id-1260_AU10Open-100_AU5-66	anger	-0.4674008675369317	0.1820689425870606
id-1260_AU11-66_AU14-66_AU43-33	sadness	0.01630468142570692	-0.7011013013053977
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.27265050606321023	0.03351517848617536
id-1260_AU12-33	sadness	0.30707150018414703	-0.8179515181896305
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	happiness	0.0027174469042844872	-0.3369634161312764
id-1260_AU12-66_AU25-33	happiness	0.4737415769802622	-0.5126916492750065
id-1260_AU13-33_AU4-66	sadness	-0.1630468142570692	0.08695830093710358
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	anger	-0.4103344825469576	0.3858774604083972
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	-0.12228511069280193	0.4646834206326473
id-1260_AU14-33_AU20-33_AU25-33	happiness	0.3777251196955437	-0.9456715226910016
id-1260_AU17-33_AU24-100_AU6-33	sadness	0.1521770266399313	-0.16667007679611515
id-1260_AU20-100_AU25-33_AU4-33	fear	-0.402182141834104	-0.05163149118140525
id-1260_AU22-100_AU25-100_AU26-100	surprise	-0.02264539086903739	-0.03713844102522131
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.3750076727912592	-0.29891915947129355
id-1260_AU9-33	disgust	-0.1277200045013709	-0.959258757212424
id-1264_AU1-100_AU4-100	surprise	0.17935149568277614	-0.1847863894913451
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.3958414323907736	0.27265050606321023
id-1264_AU10Open-33_AU12-66	happiness	-0.06974780387663516	0.14040142338803183
id-1264_AU10Open-33_AU25-66_AU4-66	surprise	-0.015398865790945423	0.28623774058463264
id-1264_AU11-33_AU13-33_AU22-33	happiness	0.2418527744813193	0.0027174469042844872
id-1264_AU13-100_AU15-33_AU22-33	fear	0.03170354721665234	-0.7907770491467856
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	fear	0.12228511069280193	0.1875038363956296
id-1264_AU14-33_AU16Open-100_AU20-33	fear	-0.40127632619934245	0.02898610031236787
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	happiness	-0.1032629823628105	-0.3505506506526989
id-1264_AU14-66_AU15-66_AU20-66_AU6-33	fear	-0.513597464909768	0.2527225620984573
id-1264_AU15-66_AU24-33_AU4-100	surprise	-0.21558412107323596	-0.3650437008088827
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	anger	0.010869787617137949	0.1875038363956296
id-1264_AU22-100_AU26-33	fear	0.01630468142570692	0.13858979211850886
id-1264_AU26-100_AU6-66_AU7-33	anger	-0.02717446904284487	-0.05525475372045119
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	0.43207405778123337	0.17482241750896868
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.24547603702036533	0.19837362401276756
id-1266_AU11-66_AU17-100_AU43-66_AU6-66	sadness	0.032609362851413845	-0.28986100312367863
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	anger	-0.23098298686418134	0.06521872570282768
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	disgust	-0.39040653858220464	-0.36323206953935977
id-1266_AU14-66_AU16Open-66_AU27i-33_AU43-66	fear	-0.04710241300759777	-0.3061656845493855
id-1266_AU15-33_AU5-66_AU9-33	anger	-0.4728357613455008	-0.13587234521422434
id-1266_AU17-100_AU20-66	fear	-0.2663097966198797	-0.04347915046855179
id-1266_AU17-33_AU24-33_AU26-66	disgust	0.04619659737283628	-0.6603395977411303
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	anger	-0.24457022138560386	0.1032629823628105
id-1266_AU25-100_AU4-100	sadness	-0.11232113871042547	-0.14040142338803177
id-1266_AU25-33_AU4-33	anger	0.1630468142570692	0.19022128329991408
id-1269_AU1-66_AU16Open-33_AU20-66	fear	-0.07337106641568114	0.2907668187584401
id-1269_AU10Open-100_AU20-100_AU25-33	fear	-0.29891915947129355	0.05978383189425871
id-1269_AU10Open-33	anger	-0.36323206953935977	-0.3369634161312764
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	disgust	-0.6693977540887452	0.6041790283859176
